Ensembl_ID,ext_gene,biotype,chr,WT.6dpf.1,WT.6dpf.4,pex5KO.6dpf.1,pex5KO.6dpf.2
ENSDARG00000012199,gpt2,protein_coding,7,1.274547371,0,0,0.758099792
ENSDARG00000014577,rhpn2,protein_coding,7,4.91141335,5.611807962,5.478692729,5.260331481
ENSDARG00000075698,nkpd1,protein_coding,11,0,0.836143193,1.323745211,0.758099792
ENSDARG00000077028,si:ch211-81n22.1,protein_coding,6,0.773671072,0,0.808653096,0
ENSDARG00000099885,trim105,protein_coding,14,2.185255295,0.836143193,2.95683331,2.852269367
ENSDARG00000036494,gstcd,protein_coding,1,1.274547371,1.746662492,1.702536188,1.620016101
ENSDARG00000101584,CU467822.2,lincRNA,7,4.567281664,2.050008648,1.323745211,3.216476388
ENSDARG00000039424,snrpb2,protein_coding,1,2.884896928,3.381733771,3.78416702,3.319964727
ENSDARG00000076005,piezo2a.2,protein_coding,24,2.185255295,0.836143193,0.808653096,1.912667577
ENSDARG00000094012,si:dkey-192g7.3,protein_coding,9,0,0.836143193,0,0
ENSDARG00000071555,zgc:153675,protein_coding,22,4.523439657,4.750282091,5.090401152,4.941305743
ENSDARG00000011740,u2af2b,protein_coding,19,5.834396404,5.90437173,5.803872912,5.934038874
ENSDARG00000104786,nlgn3a,protein_coding,14,2.185255295,0.836143193,0,1.620016101
ENSDARG00000020573,ddx3xa,protein_coding,9,5.297161493,6.131421966,5.152689188,5.152308282
ENSDARG00000028119,sumo3a,protein_coding,6,6.081164171,5.744515419,5.572819199,6.013374336
ENSDARG00000023318,fmn2a,protein_coding,17,0.773671072,0,0,0
ENSDARG00000096786,si:ch211-28p3.3,protein_coding,12,0,0,0,0
ENSDARG00000011876,ednraa,protein_coding,1,1.274547371,1.746662492,2.250317981,1.912667577
ENSDARG00000101992,si:dkey-238k10.3,protein_coding,4,0.773671072,0,0,0
ENSDARG00000036575,si:ch73-71d17.2,protein_coding,7,0,0,0,0
ENSDARG00000003699,atp7a,protein_coding,14,1.274547371,1.746662492,2.002271038,1.252490209
